# Name: SAFD
# Car: ks_ferrari_sf15t
# Track: monza
# trackSPlineLength: 1.8216880036222622e-44
timestamp,currentTime,completedLaps,status,lastTime,bestTime,distanceTraveled,normalizedCarPosition,carCoordinates,gas,brake,fuel,gear,rpms,speedKmh,steerAngle,track,carModel,sectorCount,trackSPlineLength
2024-07-28 18:31:57.478134,0:50:418,0,2,-:--:---,-:--:---,1992.361083984375,0.3950153589248657,"[731.6019897460938, 0.40724027156829834, -1209.7894287109375]",0.0,0.0,55.0,6,6779,137.21914672851562,-0.031199999153614044,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:57.578837,0:50:514,0,2,-:--:---,-:--:---,1996.0113525390625,0.39564692974090576,"[735.1226806640625, 0.3885855972766876, -1210.7373046875]",0.0,0.0,55.0,6,6730,136.16526794433594,-0.03909999877214432,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:57.680298,0:50:625,0,2,-:--:---,-:--:---,2000.198486328125,0.39637491106987,"[739.1492309570312, 0.3734096884727478, -1211.86669921875]",0.0,0.0,55.0,6,6660,135.11398315429688,-0.0625,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:57.781277,0:50:721,0,2,-:--:---,-:--:---,2003.7904052734375,0.3969968855381012,"[742.5892944335938, 0.35379499197006226, -1212.8863525390625]",0.0,0.0,55.0,6,6619,134.0322265625,-0.0625,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:57.882241,0:50:817,0,2,-:--:---,-:--:---,2007.24462890625,0.3976154923439026,"[745.9856567382812, 0.3320312201976776, -1213.956298828125]",0.0,0.0,55.0,6,6575,132.9567413330078,-0.05469999834895134,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:57.983217,0:50:928,0,2,-:--:---,-:--:---,2011.334716796875,0.3983219563961029,"[749.8597412109375, 0.31175875663757324, -1215.249755859375]",0.0,0.0,55.0,6,6522,131.94216918945312,-0.031199999153614044,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:58.083648,0:51:021,0,2,-:--:---,-:--:---,2014.843994140625,0.3989124596118927,"[753.0673217773438, 0.29748091101646423, -1216.362548828125]",0.0,0.0,55.0,6,6472,130.9112548828125,9.999999747378752e-05,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:58.184621,0:51:117,0,2,-:--:---,-:--:---,2018.3270263671875,0.39951175451278687,"[756.3504638671875, 0.28221380710601807, -1217.514892578125]",0.0,0.0,55.0,6,6421,129.92332458496094,0.023899998515844345,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:58.285588,0:51:231,0,2,-:--:---,-:--:---,2022.322998046875,0.40022528171539307,"[760.2216186523438, 0.26342248916625977, -1218.861083984375]",0.0,0.0,55.0,6,6372,128.90953063964844,0.023899998515844345,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
2024-07-28 18:31:58.386537,0:51:324,0,2,-:--:---,-:--:---,2025.7513427734375,0.4008018672466278,"[763.361328125, 0.24705705046653748, -1219.931884765625]",0.0,0.0,55.0,6,6319,127.91014862060547,0.023899998515844345,monza,ks_ferrari_sf15t,3,1.8216880036222622e-44
