momento gravacion prueba;2024-06-19 18:30:36.578535
automovil;abarth500
Nombre circuito;m608 - 2024 - alt 1
Nombre conductor=;Santiago Higuera
Momento (s);X(m);Y(m);Z(m);Vx(m/s);Vy(m/s);Vz(m/s);V_modulo(km/h);Presion acelerador (0-1);Presion freno (0-1);Presion embrague (0-1);Marcha;RPM motor;Posicion norm pista;giro volante (-360º, 360º);X_Num_Gs_vehiculo;Y_Num_Gs_vehiculo;Z_Num_Gs_vehiculo;X_velocidad_angular_coche_CG;Y_velocidad_angular_coche_CG;Z_velocidad_angular_coche_CG;X_normal_rueda_RR;Y_normal_rueda_RR;Z_normal_rueda_RR;X_normal_rueda_RL;Y_normal_rueda_RL;Z_normal_rueda_RL;X_normal_rueda_FR;Y_normal_rueda_FR;Z_normal_rueda_FR;X_normal_rueda_FL;Y_normal_rueda_FL;Z_normal_rueda_FL;X_Punto_contacto_rueda_RR;Y_Punto_contacto_rueda_RR;Z_Punto_contacto_rueda_RR;X_Punto_contacto_rueda_RL;Y_Punto_contacto_rueda_RL;Z_Punto_contacto_rueda_RL;X_Punto_contacto_rueda_FR;Y_Punto_contacto_rueda_FR;Z_Punto_contacto_rueda_FR;X_Punto_contacto_rueda_FL;Y_Punto_contacto_rueda_FL;Z_Punto_contacto_rueda_FL;FX_Vector_ruedas_RR;FY_Vector_ruedas_RR;FX_Vector_ruedas_RL;FY_Vector_ruedas_RL;FX_Vector_ruedas_FR;FY_Vector_ruedas_FR;FX_Vector_ruedas_FR;FY_Vector_ruedas_FR
1718814637.190102;1.1275;0.6959;-1.8394;-0.0265;-0.4003;0.0197;1.4434;0.0;0.0;1.0;1;72.922;0.0;0.3608;0.2397;-0.0703;-0.1026;-0.1439;-0.0005;0.1888;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2229;0.1503;-0.4814;-0.5012;0.1711;-1.6813;2.1862;0.1283;-1.665;1.4613;0.1492;-2.8673;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.376597;1.1275;0.6748;-1.83;-0.0018;0.0019;0.0001;0.0082;0.0;1.0;0.0;1;273.4573;0.0;0.0;0.0;0.0;0.0;0.0026;0.0002;-0.0025;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2217;0.1503;-0.4778;-0.5011;0.1711;-1.6754;2.1858;0.1283;-1.6609;1.4609;0.1492;-2.8619;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.400406;1.1275;0.6748;-1.8301;0.0022;0.0017;-0.002;0.0081;0.0;1.0;0.0;1;291.6878;0.0;0.0;0.0;0.0;0.0;0.0012;-0.0003;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2217;0.1503;-0.4779;-0.5011;0.1711;-1.6754;2.1858;0.1283;-1.6609;1.4609;0.1492;-2.8619;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.408341;1.1275;0.6748;-1.8301;0.0017;0.0016;-0.0018;0.0107;0.0;1.0;0.0;1;302.1053;0.0;0.0;0.0;0.0;0.0;0.0009;-0.0003;-0.0027;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2217;0.1503;-0.4779;-0.5011;0.1711;-1.6754;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.440084;1.1275;0.6749;-1.8301;0.0002;0.0011;-0.001;0.0056;0.0;1.0;0.0;1;330.7532;0.0;0.0;0.0;0.0;0.0;0.0006;-0.0002;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.491669;1.1275;0.6749;-1.8302;-0.0002;0.0009;-0.0008;0.0046;0.0;1.0;0.0;1;369.8185;0.0;0.0;0.0;0.0;0.0;0.0007;-0.0001;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.49762;1.1275;0.6749;-1.8302;-0.0003;0.0008;-0.0007;0.0042;0.0;1.0;0.0;1;380.2359;0.0;0.0;0.0;0.0;0.0;0.0006;-0.0001;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.502085;1.1275;0.6749;-1.8302;-0.0003;0.0008;-0.0007;0.0041;0.0;1.0;0.0;1;382.8403;0.0;0.0;0.0;0.0;0.0;0.0006;-0.0001;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.518453;1.1275;0.6749;-1.8302;-0.0002;0.0008;-0.0007;0.004;0.0;1.0;0.0;1;395.8621;0.0;0.0;0.0;0.0;0.0;0.0006;-0.0001;-0.0028;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
1718814637.536804;1.1275;0.675;-1.8302;-0.0003;0.0007;-0.0007;0.0038;0.0;1.0;0.0;1;414.0926;0.0;0.0;0.0;0.0;0.0;0.0005;-0.0001;-0.0027;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.0159;0.9998;0.0078;0.2218;0.1503;-0.4779;-0.501;0.1711;-1.6755;2.1859;0.1283;-1.661;1.461;0.1492;-2.862;-1;-1;-1;-1;-1;-1;-1;-1
